Timestamp color_1_R color_1_G color_1_B color_1_proportion color_2_R color_2_G color_2_B color_2_proportion color_3_R color_3_G color_3_B color_3_proportion
2014-03-31_13-13-35 250.05412 249.56958 249.03117 0.5219384765625 24.485374 21.467672 23.873924 0.24990234375 221.19272 195.66 163.93156 0.2281591796875
2018-08-10_14-09-59 56.950848 5.060606 1.2858282 0.4979571759259259 170.73178 11.578307 2.9803724 0.3716010802469136 207.15364 87.408516 46.354565 0.1304417438271605
2017-07-11_10-55-01 95.0078 79.27826 72.13995 0.4958854166666667 21.00228 13.040567 12.6998825 0.30289737654320986 194.57184 173.35632 143.1389 0.20121720679012345
2018-07-20_19-47-07 20.48588 7.0247917 35.05117 0.6016687300113484 49.500126 89.62877 198.45482 0.2089768389559476 178.53734 27.879599 96.31247 0.18935443103270402
2015-10-05_14-20-03 233.46446 241.35445 241.93883 0.5485116598079561 79.92592 53.32791 26.566706 0.2508278463648834 155.04526 132.16737 109.28319 0.2006604938271605
2015-09-27_23-08-04 208.6674 186.99883 154.45744 0.476154 140.6512 100.50005 110.112404 0.287458 78.94416 36.124542 35.88431 0.236388
2015-01-14_19-05-29 224.87088 217.46045 197.34418 0.4253515625 178.19543 125.02072 62.493702 0.30194091796875 53.35936 41.64857 17.321644 0.27270751953125
2014-07-25_18-12-59 204.27898 207.9474 206.8994 0.4180859375 59.787792 36.512814 36.390625 0.3427392578125 151.77512 103.24538 91.67612 0.2391748046875
2014-07-17_11-44-15 73.26527 72.474144 24.140005 0.42140380859375 199.92717 189.90204 157.09546 0.33398681640625 59.79591 123.37553 197.05869 0.244609375
2016-08-05_12-03-22 36.97587 21.33416 19.038729 0.47091906721536353 187.76573 94.019325 58.150364 0.27060185185185187 228.6452 207.6379 194.14938 0.25847908093278466
2016-12-10_15-23-43 38.62211 21.902431 50.38075 0.6211014880533258 161.58522 79.65171 65.01502 0.2537424306435713 141.77031 149.03929 188.25032 0.12515608130310285
2018-11-19_09-44-18 149.84567 163.5641 172.9908 0.44958333333333333 214.43044 201.45367 177.79506 0.3715843621399177 93.94396 81.285835 74.62879 0.17883230452674898
2015-01-06_19-36-01 47.129963 16.577093 22.60496 0.491142578125 210.23578 183.84715 148.11546 0.26189453125 132.70764 88.94352 64.465805 0.246962890625
2015-07-18_20-12-40 14.332984 4.6760526 38.753437 0.6462474279835391 233.05676 228.1379 179.98074 0.2433641975308642 127.15182 101.43731 104.73823 0.11038837448559671
2015-03-11_14-30-06 55.716198 16.11424 10.674786 0.459658203125 202.48119 90.65145 60.537594 0.3707470703125 246.97423 222.3895 191.97562 0.1695947265625
